name,price,categoryId,image
norton,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Belle Gutierrez,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Minnie Kim,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Arthur Santos,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
David Guzman,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Lida Brewer,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Polly Horton,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Johanna Swanson,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Jacob Perez,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Craig Mason,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Tillie Todd,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Jonathan Hamilton,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Rachel Hart,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Ella Foster,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Eddie Lynch,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Micheal Soto,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Juan Reyes,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Genevieve Hampton,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Eliza Berry,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Lydia Harvey,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Ophelia Strickland,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Hettie Collier,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Maud Mullins,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Ian Morales,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Raymond Burton,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Theodore McCoy,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
Carolyn Diaz,10000,6920afa3-39db-4b47-b458-43270cb6b2f4,/uploads/466ba89e-2841-4a80-a5d4-d5e7c6321836.jpg
